Emp_Id|Dep_Id|StartDate|EndDate
1|1|06-20-2022|11-29-2022
2|2|11-01-2022|11-29-2022
3|1|11-01-2022|11-30-2022
4|1|11-01-2022|11-16-2022
5|2|11-01-2022|11-30-2022
6|2|11-03-2022|11-27-2022
1|1|11-29-2022|11-30-2022
4|2|11-18-2022|11-28-2022
2|1|11-28-2022|current
6|2|11-22-2022|current
5|0|11-29-2022|current
5|3|11-02-2022|current
7|3|11-01-2022|12-02-2022
8|3|11-02-2022|12-17-2022
9|0|11-09-2022|12-01-2022
10|0|12-01-2022|12-28-2022
11|3|05-12-2022|12-22-2022
12|1|10-07-2022|12-23-2022
7|0|12-09-2022|12-02-2022
7|1|11-30-2022|12-02-2022
9|2|11-10-2022|current
10|3|11-02-2022|12-28-2022
12|2|11-24-2022|current
